Word Pair,MI,Mean CosSim,MSE
Above-Above,0.40173580644063184,0.03515625,0.0
Above-After,0.0016671492549624328,0.0417705612995565,0.105
Above-Again,0.004169758586488381,0.031094191037924285,0.08
Above-Agent,0.0016671492549624328,0.04499295485176355,0.07999999999999999
Above-Agree,0.0,0.031094191037924285,0.08
Above-Alarm,0.004169758586488381,0.020745549246666238,0.105
Above-Album,0.0,0.030801575313265696,0.12
Above-Alive,0.40173580644063184,0.03515625,0.045
Above-Allay,0.004169758586488381,0.030801575313265696,0.12
Above-Alleg,0.0,0.030801575313265696,0.12
Above-Aloft,0.0016671492549624328,0.04499295485176356,0.105
Above-Alone,0.0,0.022767293456039804,0.08
Above-Along,0.0,0.030801575313265696,0.105
Above-Amaze,0.40173580644063184,0.03515625,0.045
Above-Ample,0.004169758586488381,0.020745549246666235,0.105
Above-Angel,0.0,0.030801575313265696,0.12
Above-Angry,0.004169758586488381,0.03866788861549358,0.12
Above-Ankle,0.004169758586488381,0.020745549246666238,0.105
Above-April,0.004169758586488381,0.02174467292893051,0.12
Above-Arena,0.0,0.022767293456039804,0.08
Above-Arise,0.40173580644063184,0.03515625,0.045
Above-Armor,0.004169758586488381,0.02174467292893051,0.12
Above-Aside,0.005836907841450814,0.03515625,0.08
Above-Asset,0.018317486162038737,0.02174467292893051,0.12
Above-Avoid,0.005836907841450814,0.031094191037924282,0.105
Above-Bacon,0.004169758586488381,0.030801575313265703,0.125
Above-Badge,0.004169758586488381,0.02174467292893051,0.12
Above-Bagel,0.0,0.0308015753132657,0.125
Above-Baker,0.0,0.030801575313265696,0.125
Above-Balmy,0.004169758586488381,0.0417705612995565,0.125
Above-Bandy,0.004169758586488381,0.0417705612995565,0.125
Above-Barer,0.0,0.030801575313265696,0.125
Above-Basil,0.005836907841450814,0.038667888615493584,0.125
Above-Batch,0.005836907841450814,0.031094191037924285,0.125
Above-Bathe,0.0016671492549624328,0.030801575313265696,0.12
Above-Beach,0.004169758586488381,0.021744672928930505,0.12
Above-Beady,0.004169758586488381,0.0308015753132657,0.12
Above-Beaky,0.004169758586488381,0.0417705612995565,0.12
Above-Beamy,0.004169758586488381,0.0417705612995565,0.12
Above-Beard,0.004169758586488381,0.033577164502832615,0.12
Above-Beige,0.004169758586488381,0.021744672928930505,0.105
Above-Bella,0.004169758586488381,0.030801575313265696,0.12
Above-Belly,0.004169758586488381,0.0417705612995565,0.125
Above-Belon,0.004169758586488381,0.030801575313265696,0.125
