Word Pair,MI,Mean CosSim,MSE
Above-Above,3.344044184306288,0.009999999776482582,0.0
Above-After,0.0500138680466522,0.0,2.0274997950764373e-05
Above-Again,0.0,0.0020000000949949026,1.6240721379290335e-05
Above-Agent,0.0,0.012000000104308128,1.7799186025513336e-05
Above-Agree,3.344044184306288,0.009999999776482582,0.0
Above-Alarm,0.0,0.0020000000949949026,1.5349805835285224e-05
Above-Album,0.0,0.0020000000949949026,1.5349805835285224e-05
Above-Alive,3.3440441843062887,0.009999999776482582,0.0
Above-Allay,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Alleg,0.07306565529008457,-0.01600000075995922,1.8417355022393167e-05
Above-Aloft,0.0,0.012000000104308128,1.7799186025513336e-05
Above-Alone,3.3440441843062882,0.009999999776482582,0.0
Above-Along,0.07306565529008457,-0.01600000075995922,1.8417355022393167e-05
Above-Amaze,3.344044184306288,0.009999999776482582,0.0
Above-Ample,3.344044184306288,0.009999999776482582,0.0
Above-Angel,0.0,0.014000000432133675,1.8764421838568524e-05
Above-Angry,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Ankle,3.3440441843062887,0.009999999776482582,0.0
Above-April,0.0,0.014000000432133675,1.8764421838568524e-05
Above-Arena,0.004709108190123157,0.0020000000949949026,1.705408067209646e-05
Above-Arise,3.3440441843062887,0.009999999776482582,0.0
Above-Armor,0.10562050902188336,-0.0020000000949949026,1.569751839269884e-05
Above-Aside,3.3440441843062882,0.009999999776482582,0.0
Above-Asset,0.0,0.012000000104308128,1.7799186025513336e-05
Above-Avoid,0.0,-0.019999999552965164,1.6095284081529826e-05
Above-Bacon,0.0,0.0020000000949949026,1.6240721379290335e-05
Above-Badge,3.344044184306288,0.009999999776482582,0.0
Above-Bagel,0.0,0.014000000432133675,1.8764421838568524e-05
Above-Baker,0.0500138680466522,0.0,2.0274997950764373e-05
Above-Balmy,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Bandy,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Barer,3.344044184306288,0.009999999776482582,0.0
Above-Basil,0.0,0.014000000432133675,1.8764421838568524e-05
Above-Batch,0.0,0.0,2.0962934286217205e-05
Above-Bathe,3.3440441843062882,0.009999999776482582,0.0
Above-Beach,0.0,0.0,2.0962934286217205e-05
Above-Beady,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Beaky,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Beamy,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Beard,0.0,-0.019999999552965164,1.6095284081529826e-05
Above-Beige,0.07306565529008457,-0.01600000075995922,1.8417355022393167e-05
Above-Bella,0.004709108190123157,0.0020000000949949026,1.705408067209646e-05
Above-Belly,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Belon,0.0,0.0020000000949949026,1.6240721379290335e-05
Above-Berry,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Beryl,0.0,0.014000000432133675,1.8764421838568524e-05
Above-Beset,0.0,0.012000000104308128,1.7799186025513336e-05
Above-Betsy,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Betta,0.004709108190123157,0.0020000000949949026,1.705408067209646e-05
Above-Betty,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Biddy,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Bidet,0.0,0.012000000104308128,1.7799186025513336e-05
Above-Bigot,0.0,0.012000000104308128,1.7799186025513336e-05
Above-Billy,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Binge,3.344044184306288,0.009999999776482582,0.0
Above-Birch,0.0,0.0,2.0962934286217205e-05
Above-Birth,0.0,0.0,2.0962934286217205e-05
Above-Bitty,0.007527048182038865,0.004000000189989805,1.6476436940138228e-05
Above-Black,0.003426690290590617,0.00800000037997961,1.7350612324662507e-05
Above-Blade,3.3440441843062887,0.009999999776482582,0.0
After-Above,0.0500138680466522,0.0,2.0274997950764373e-05
After-After,3.344044184306288,0.0,0.0
After-Again,0.03079951620338539,0.0,1.5938436263240874e-05
After-Agent,0.0,0.0,1.700429493212141e-05
After-Agree,0.0500138680466522,0.0,2.0274997950764373e-05
After-Alarm,0.0,0.0,1.312872609560145e-05
After-Album,0.0,0.0,1.312872609560145e-05
After-Alive,0.0500138680466522,0.0,2.0274997950764373e-05
After-Allay,0.009091992336079713,0.0,1.3287349247548264e-05
After-Alleg,0.0404316232256372,0.0,1.3873825992050115e-05
After-Aloft,0.0,0.0,1.700429493212141e-05
After-Alone,0.0500138680466522,0.0,2.0274997950764373e-05
After-Along,0.0404316232256372,0.0,1.3873825992050115e-05
After-Amaze,0.0500138680466522,0.0,2.0274997950764373e-05
After-Ample,0.0500138680466522,0.0,2.0274997950764373e-05
After-Angel,0.0,0.0,1.4044041563465726e-05
After-Angry,0.009091992336079713,0.0,1.3287349247548264e-05
After-Ankle,0.0500138680466522,0.0,2.0274997950764373e-05
After-April,0.0,0.0,1.4044041563465726e-05
After-Arena,0.07517488533488947,0.0,1.4347968317451887e-05
After-Arise,0.0500138680466522,0.0,2.0274997950764373e-05
After-Armor,0.03492832301901361,0.0,1.3183114788262174e-05
After-Aside,0.0500138680466522,0.0,2.0274997950764373e-05
After-Asset,0.0,0.0,1.700429493212141e-05
After-Avoid,0.09888649903953484,0.0,1.3872558156435844e-05
After-Bacon,0.03079951620338539,0.0,1.5938436263240874e-05
After-Badge,0.0500138680466522,0.0,2.0274997950764373e-05
After-Bagel,0.0,0.0,1.4044041563465726e-05
After-Baker,3.344044184306288,0.0,0.0
After-Balmy,0.009091992336079713,0.0,1.3287349247548264e-05
After-Bandy,0.009091992336079713,0.0,1.3287349247548264e-05
After-Barer,0.0500138680466522,0.0,2.0274997950764373e-05
After-Basil,0.0,0.0,1.4044041563465726e-05
After-Batch,0.02341410671420885,0.0,1.6834630514495075e-05
After-Bathe,0.0500138680466522,0.0,2.0274997950764373e-05
After-Beach,0.02341410671420885,0.0,1.6834630514495075e-05
After-Beady,0.009091992336079713,0.0,1.3287349247548264e-05
After-Beaky,0.009091992336079713,0.0,1.3287349247548264e-05
After-Beamy,0.009091992336079713,0.0,1.3287349247548264e-05
After-Beard,0.09888649903953484,0.0,1.3872558156435844e-05
After-Beige,0.0404316232256372,0.0,1.3873825992050115e-05
After-Bella,0.07517488533488947,0.0,1.4347968317451887e-05
After-Belly,0.009091992336079713,0.0,1.3287349247548264e-05
After-Belon,0.03079951620338539,0.0,1.5938436263240874e-05
After-Berry,0.009091992336079713,0.0,1.3287349247548264e-05
After-Beryl,0.0,0.0,1.4044041563465726e-05
After-Beset,0.0,0.0,1.700429493212141e-05
After-Betsy,0.009091992336079713,0.0,1.3287349247548264e-05
After-Betta,0.07517488533488947,0.0,1.4347968317451887e-05
After-Betty,0.009091992336079713,0.0,1.3287349247548264e-05
After-Biddy,0.009091992336079713,0.0,1.3287349247548264e-05
After-Bidet,0.0,0.0,1.700429493212141e-05
After-Bigot,0.0,0.0,1.700429493212141e-05
After-Billy,0.009091992336079713,0.0,1.3287349247548264e-05
After-Binge,0.0500138680466522,0.0,2.0274997950764373e-05
After-Birch,0.02341410671420885,0.0,1.6834630514495075e-05
After-Birth,0.02341410671420885,0.0,1.6834630514495075e-05
After-Bitty,0.009091992336079713,0.0,1.3287349247548264e-05
After-Black,0.072024311674169,0.0,1.8449103663442656e-05
After-Blade,0.0500138680466522,0.0,2.0274997950764373e-05
Again-Above,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-After,0.03079951620338539,0.0,1.5938436263240874e-05
Again-Again,3.344044184306288,0.00039999998989515007,0.0
Again-Agent,0.0,0.002400000113993883,1.8303438992006704e-05
Again-Agree,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Alarm,0.0,0.00039999998989515007,1.5956862625898793e-05
Again-Album,0.0,0.00039999998989515007,1.5956862625898793e-05
Again-Alive,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Allay,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Alleg,0.0,-0.0031999999191612005,1.6002364645828493e-05
Again-Aloft,0.0,0.002400000113993883,1.8303438992006704e-05
Again-Alone,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Along,0.0,-0.0031999999191612005,1.6002364645828493e-05
Again-Amaze,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Ample,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Angel,0.12374508577436316,0.00279999990016222,1.6207022781600244e-05
Again-Angry,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
